ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tenggiri (Scomberomorus commersoni),-3.75,113.5,0.37613725662231445,0.0,0.0,POINT (113.5 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,113.75,0.4744994640350342,0.0,0.0,POINT (113.75 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,114.0,0.49825069308280945,0.0,0.0,POINT (114 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,114.25,0.4736156761646271,0.0,0.0,POINT (114.25 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,114.5,0.5278465151786804,0.0,0.0,POINT (114.5 -3.75)
Tenggiri (Scomberomorus commersoni),-3.5,106.0,0.42461419105529785,0.0,0.0,POINT (106 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,111.75,0.3867824077606201,0.0,0.0,POINT (111.75 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,112.0,0.4623127579689026,0.0,0.0,POINT (112 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,112.25,0.39253735542297363,0.0,0.0,POINT (112.25 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,112.5,0.3898114562034607,0.0,0.0,POINT (112.5 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,112.75,0.3760366439819336,0.0,0.0,POINT (112.75 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,113.0,0.38181188702583313,0.0,0.0,POINT (113 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,113.25,0.44313180446624756,0.0,0.0,POINT (113.25 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,113.5,0.4905560612678528,0.0,0.0,POINT (113.5 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,113.75,0.6339544057846069,0.0,0.0,POINT (113.75 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,114.0,0.5062475204467773,0.0,0.0,POINT (114 -3.5)
Tenggiri (Scomberomorus commersoni),-3.5,114.25,0.526313066482544,0.0,0.0,POINT (114.25 -3.5)
Tenggiri (Scomberomorus commersoni),-3.25,111.5,0.34395089745521545,0.0,0.0,POINT (111.5 -3.25)
Tenggiri (Scomberomorus commersoni),-3.25,111.75,0.3655196726322174,0.0,0.0,POINT (111.75 -3.25)
Tenggiri (Scomberomorus commersoni),-3.25,113.0,0.35066938400268555,0.0,0.0,POINT (113 -3.25)
Tenggiri (Scomberomorus commersoni),-3.25,113.25,0.36716723442077637,0.0,0.0,POINT (113.25 -3.25)
Tenggiri (Scomberomorus commersoni),-3.25,113.5,0.4285573959350586,0.0,0.0,POINT (113.5 -3.25)
Tenggiri (Scomberomorus commersoni),-3.0,110.5,0.3466627597808838,0.0,0.0,POINT (110.5 -3)
Tenggiri (Scomberomorus commersoni),-3.0,111.25,0.36488378047943115,0.0,0.0,POINT (111.25 -3)
Tenggiri (Scomberomorus commersoni),-3.0,111.5,0.3666107654571533,0.0,0.0,POINT (111.5 -3)
Tenggiri (Scomberomorus commersoni),-3.0,111.75,0.3545995354652405,0.0,0.0,POINT (111.75 -3)
Tenggiri (Scomberomorus commersoni),-2.75,106.75,0.3622458875179291,0.0,0.0,POINT (106.75 -2.75)
Tenggiri (Scomberomorus commersoni),-2.0,110.0,0.35089194774627686,0.0,0.0,POINT (110 -2)
Teri (Stolephorus sp.),-7.75,106.25,0.2520192861557007,0.0,0.0,POINT (106.25 -7.75)
Teri (Stolephorus sp.),-7.75,106.5,0.28441524505615234,0.0,0.0,POINT (106.5 -7.75)
Teri (Stolephorus sp.),-7.75,106.75,0.32263216376304626,0.0,0.0,POINT (106.75 -7.75)
Teri (Stolephorus sp.),-7.75,107.0,0.3571992814540863,0.0,0.0,POINT (107 -7.75)
Teri (Stolephorus sp.),-7.75,107.25,0.503474771976471,0.0,0.0,POINT (107.25 -7.75)
Teri (Stolephorus sp.),-7.75,107.5,0.5855961441993713,0.0,0.0,POINT (107.5 -7.75)
Teri (Stolephorus sp.),-7.75,107.75,0.6641457080841064,0.0,0.0,POINT (107.75 -7.75)
Teri (Stolephorus sp.),-7.75,113.25,0.30081793665885925,0.0,0.0,POINT (113.25 -7.75)
Teri (Stolephorus sp.),-7.75,113.5,0.28180086612701416,0.0,0.0,POINT (113.5 -7.75)
Teri (Stolephorus sp.),-7.75,113.75,0.2612168788909912,0.0,0.0,POINT (113.75 -7.75)
Teri (Stolephorus sp.),-7.5,106.25,0.2661113440990448,0.0,0.0,POINT (106.25 -7.5)
Teri (Stolephorus sp.),-7.5,106.5,0.3108442723751068,0.0,0.0,POINT (106.5 -7.5)
Teri (Stolephorus sp.),-7.5,106.75,0.3442404568195343,0.0,0.0,POINT (106.75 -7.5)
Teri (Stolephorus sp.),-7.5,113.0,0.47237223386764526,0.0,0.0,POINT (113 -7.5)
Teri (Stolephorus sp.),-7.5,113.25,0.35749468207359314,0.0,0.0,POINT (113.25 -7.5)
Teri (Stolephorus sp.),-7.5,113.5,0.31111520528793335,0.0,0.0,POINT (113.5 -7.5)
Teri (Stolephorus sp.),-7.25,106.25,0.29123085737228394,0.0,0.0,POINT (106.25 -7.25)
Teri (Stolephorus sp.),-7.25,113.5,0.35823434591293335,0.0,0.0,POINT (113.5 -7.25)
Teri (Stolephorus sp.),-7.0,106.0,0.27586591243743896,0.0,0.0,POINT (106 -7)
Teri (Stolephorus sp.),-6.75,111.75,0.25202617049217224,0.0,0.0,POINT (111.75 -6.75)
